FBgn0037972	4-day Adult, heatshock	8
FBgn0037972	A 1d carcass	1
FBgn0037972	A 1d dig sys	3
FBgn0037972	A 20d carcass	1
FBgn0037972	A 20d dig sys	3
FBgn0037972	A 4d carcass	1
FBgn0037972	A 4d dig sys	2
FBgn0037972	A MateF 1d head	0
FBgn0037972	A MateF 20d head	1
FBgn0037972	A MateF 4d head	0
FBgn0037972	A MateF 4d ovary	4
FBgn0037972	A MateM 1d head	0
FBgn0037972	A MateM 20d head	0
FBgn0037972	A MateM 4d acc gland	3
FBgn0037972	A MateM 4d head	1
FBgn0037972	A MateM 4d testis	2
FBgn0037972	A VirF 1d head	1
FBgn0037972	A VirF 20d head	0
FBgn0037972	A VirF 4d head	0
FBgn0037972	A VirF 4d ovary	6
FBgn0037972	CNS ML-DmBG1-c1	0
FBgn0037972	CNS ML-DmBG2-c2	0
FBgn0037972	L3 CNS	11
FBgn0037972	L3 Wand carcass	41
FBgn0037972	L3 Wand dig sys	18
FBgn0037972	L3 Wand fat	12
FBgn0037972	L3 Wand imag disc	39
FBgn0037972	L3 Wand saliv	1
FBgn0037972	P15	5
FBgn0037972	P5	104
FBgn0037972	P6	57
FBgn0037972	P8	76
FBgn0037972	P8 CNS	116
FBgn0037972	P8 fat	804
FBgn0037972	P9-10	7
FBgn0037972	Schneider line 2 S2R+	0
FBgn0037972	Schneider line 2 Sg4	1
FBgn0037972	WPP fat	184
FBgn0037972	WPP saliv	27
FBgn0037972	adult female 01day	1
FBgn0037972	adult female 05day	1
FBgn0037972	adult female 30day	1
FBgn0037972	adult male 01day	1
FBgn0037972	adult male 05day	1
FBgn0037972	adult male 30day	1
FBgn0037972	antennal disc ML-DmD20-c5	2
FBgn0037972	embryo 00-02hr	1
FBgn0037972	embryo 02-04hr	3
FBgn0037972	embryo 04-06hr	5
FBgn0037972	embryo 06-08hr	18
FBgn0037972	embryo 08-10hr	26
FBgn0037972	embryo 10-12hr	42
FBgn0037972	embryo 12-14hr	34
FBgn0037972	embryo 14-16hr	5
FBgn0037972	embryo 16-18hr	1
FBgn0037972	embryo 18-20hr	1
FBgn0037972	embryo 20-22hr	1
FBgn0037972	embryo 22-24hr	2
FBgn0037972	embryonic 1182-4H	1
FBgn0037972	embryonic GM2	1
FBgn0037972	embryonic Kc167	13
FBgn0037972	embryonic S1	1
FBgn0037972	embryonic S3	0
FBgn0037972	eye-antennal disc ML-DmD11	2
FBgn0037972	haltere disc ML-DmD17-c3	0
FBgn0037972	larva L1	3
FBgn0037972	larva L2	15
FBgn0037972	larva L3 12hr old	4
FBgn0037972	larva L3 late, Zn 5mM	20
FBgn0037972	larva L3 puffstage 1-2	6
FBgn0037972	larva L3 puffstage 3-6	9
FBgn0037972	larva L3 puffstage 7-9	20
FBgn0037972	larva L3, Caffeine 1.5mg/ml	13
FBgn0037972	larva L3, Cd 12hr	24
FBgn0037972	larva L3, Cd 6hr	13
FBgn0037972	larva L3, Cu 0.5mM	17
FBgn0037972	larva L3, EtOH 10	13
FBgn0037972	larva L3, EtOH 2.5	3
FBgn0037972	larva L3, EtOH 5	9
FBgn0037972	larva L3, Rotenone 2μg	11
FBgn0037972	larva L3, Rotenone 8μg	7
FBgn0037972	leg disc CME L1	2
FBgn0037972	mixed discs ML-DmD4-c1	1
FBgn0037972	ovary OSC	2
FBgn0037972	ovary OSS	1
FBgn0037972	ovary fGS/OSS	1
FBgn0037972	tumorous blood cells mbn2	0
FBgn0037972	white prepupae new	40
FBgn0037972	wing disc CME-W2	9
FBgn0037972	wing disc ML-DmD16-c3	24
FBgn0037972	wing disc ML-DmD21	0
FBgn0037972	wing disc ML-DmD32	2
FBgn0037972	wing disc ML-DmD8	0
FBgn0037972	wing disc ML-DmD9	0
FBgn0036461	4-day Adult, Caffeine 2.5mg/ml	5
FBgn0036461	4-day Adult, Caffeine 25mg/ml	2
FBgn0036461	4-day Adult, Cd 0.05M	8
FBgn0036461	4-day Adult, Cd 0.1M	1
FBgn0036461	4-day Adult, Cu 15mM	2
FBgn0036461	4-day Adult, Paraquat 10mM	7
FBgn0036461	4-day Adult, Paraquat 5mM	4
FBgn0036461	4-day Adult, Zn 4.5mM	5
FBgn0036461	4-day Adult, cold 1	3
FBgn0036461	4-day Adult, cold 2	4
FBgn0036461	4-day Adult, heatshock	6
FBgn0036461	A 1d carcass	3
FBgn0036461	A 1d dig sys	32
FBgn0036461	A 20d carcass	2
FBgn0036461	A 20d dig sys	21
FBgn0036461	A 4d carcass	2
FBgn0036461	A 4d dig sys	20
FBgn0036461	A MateF 1d head	4
FBgn0036461	A MateF 20d head	2
FBgn0036461	A MateF 4d head	2
FBgn0036461	A MateF 4d ovary	0
FBgn0036461	A MateM 1d head	6
FBgn0036461	A MateM 20d head	4
FBgn0036461	A MateM 4d acc gland	1
FBgn0036461	A MateM 4d head	4
FBgn0036461	A MateM 4d testis	6
FBgn0036461	A VirF 1d head	5
FBgn0036461	A VirF 20d head	3
FBgn0036461	A VirF 4d head	2
FBgn0036461	A VirF 4d ovary	0
FBgn0036461	CNS ML-DmBG1-c1	0
FBgn0036461	CNS ML-DmBG2-c2	0
FBgn0036461	L3 CNS	2
FBgn0036461	L3 Wand carcass	7
FBgn0036461	L3 Wand dig sys	60
FBgn0036461	L3 Wand fat	0
FBgn0036461	L3 Wand imag disc	2
FBgn0036461	L3 Wand saliv	4
FBgn0036461	P15	17
FBgn0036461	P5	24
FBgn0036461	P6	8
FBgn0036461	P8	4
FBgn0036461	P8 CNS	1
FBgn0036461	P8 fat	1
FBgn0036461	P9-10	6
FBgn0036461	Schneider line 2 S2R+	0
FBgn0036461	Schneider line 2 Sg4	1
FBgn0036461	WPP fat	3
FBgn0036461	WPP saliv	1
FBgn0036461	adult female 01day	7
FBgn0036461	adult female 05day	4
FBgn0036461	adult female 30day	4
FBgn0036461	adult male 01day	13
FBgn0036461	adult male 05day	10
FBgn0036461	adult male 30day	10
FBgn0036461	antennal disc ML-DmD20-c5	4
FBgn0036461	embryo 00-02hr	0
FBgn0036461	embryo 02-04hr	1
FBgn0036461	embryo 04-06hr	4
FBgn0036461	embryo 06-08hr	1
FBgn0036461	embryo 08-10hr	1
FBgn0036461	embryo 10-12hr	2
FBgn0036461	embryo 12-14hr	4
FBgn0036461	embryo 14-16hr	4
FBgn0036461	embryo 16-18hr	8
FBgn0036461	embryo 18-20hr	4
FBgn0036461	embryo 20-22hr	9
FBgn0036461	embryo 22-24hr	10
FBgn0036461	embryonic 1182-4H	0
FBgn0036461	embryonic GM2	0
FBgn0036461	embryonic Kc167	0
FBgn0036461	embryonic S1	0
FBgn0036461	embryonic S3	0
FBgn0036461	eye-antennal disc ML-DmD11	0
FBgn0036461	haltere disc ML-DmD17-c3	0
FBgn0036461	larva L1	6
FBgn0036461	larva L2	9
FBgn0036461	larva L3 12hr old	11
FBgn0036461	larva L3 late, Zn 5mM	4
FBgn0036461	larva L3 puffstage 1-2	13
FBgn0036461	larva L3 puffstage 3-6	19
FBgn0036461	larva L3 puffstage 7-9	33
FBgn0036461	larva L3, Caffeine 1.5mg/ml	20
FBgn0036461	larva L3, Cd 12hr	23
FBgn0036461	larva L3, Cd 6hr	9
FBgn0036461	larva L3, Cu 0.5mM	2
FBgn0036461	larva L3, EtOH 10	10
FBgn0036461	larva L3, EtOH 2.5	2
FBgn0036461	larva L3, EtOH 5	16
FBgn0036461	larva L3, Rotenone 2μg	18
FBgn0036461	larva L3, Rotenone 8μg	7
FBgn0036461	leg disc CME L1	1
FBgn0036461	mixed discs ML-DmD4-c1	1
FBgn0036461	ovary OSC	0
FBgn0036461	ovary OSS	0
FBgn0036461	ovary fGS/OSS	0
FBgn0036461	tumorous blood cells mbn2	1
FBgn0036461	white prepupae new	25
FBgn0036461	wing disc CME-W2	0
FBgn0036461	wing disc ML-DmD16-c3	0
FBgn0036461	wing disc ML-DmD21	0
FBgn0036461	wing disc ML-DmD32	6
FBgn0036461	wing disc ML-DmD8	0
FBgn0036461	wing disc ML-DmD9	1
FBgn0260744	4-day Adult, Caffeine 2.5mg/ml	21
FBgn0260744	4-day Adult, Caffeine 25mg/ml	11
FBgn0260744	4-day Adult, Cd 0.05M	22
FBgn0260744	4-day Adult, Cd 0.1M	17
FBgn0260744	4-day Adult, Cu 15mM	15
FBgn0260744	4-day Adult, Paraquat 10mM	40
FBgn0260744	4-day Adult, Paraquat 5mM	25
FBgn0260744	4-day Adult, Zn 4.5mM	16
FBgn0260744	4-day Adult, cold 1	17
FBgn0260744	4-day Adult, cold 2	13
FBgn0260744	4-day Adult, heatshock	21
FBgn0260744	A 1d carcass	11
FBgn0260744	A 1d dig sys	21
FBgn0260744	A 20d carcass	19
FBgn0260744	A 20d dig sys	26
FBgn0260744	A 4d carcass	15
FBgn0260744	A 4d dig sys	18
FBgn0260744	A MateF 1d head	13
FBgn0260744	A MateF 20d head	29
FBgn0260744	A MateF 4d head	25
FBgn0260744	A MateF 4d ovary	16
FBgn0260744	A MateM 1d head	25
FBgn0260744	A MateM 20d head	60
FBgn0260744	A MateM 4d acc gland	11
FBgn0260744	A MateM 4d head	37
FBgn0260744	A MateM 4d testis	16
FBgn0260744	A VirF 1d head	17
FBgn0260744	A VirF 20d head	42
FBgn0260744	A VirF 4d head	22
FBgn0260744	A VirF 4d ovary	21
FBgn0260744	CNS ML-DmBG1-c1	25
FBgn0260744	CNS ML-DmBG2-c2	39
FBgn0260744	L3 CNS	17
FBgn0260744	L3 Wand carcass	28
FBgn0260744	L3 Wand dig sys	61
FBgn0260744	L3 Wand fat	57
FBgn0260744	L3 Wand imag disc	15
FBgn0260744	L3 Wand saliv	46
FBgn0260744	P15	30
FBgn0260744	P5	143
FBgn0260744	P6	77
FBgn0260744	P8	50
FBgn0260744	P8 CNS	13
FBgn0260744	P8 fat	74
FBgn0260744	P9-10	27
FBgn0260744	Schneider line 2 S2R+	70
FBgn0260744	Schneider line 2 Sg4	32
FBgn0260744	WPP fat	120
FBgn0260744	WPP saliv	75
FBgn0260744	adult female 01day	38
FBgn0260744	adult female 05day	40
FBgn0260744	adult female 30day	43
FBgn0260744	adult male 01day	38
FBgn0260744	adult male 05day	46
FBgn0260744	adult male 30day	50
FBgn0260744	antennal disc ML-DmD20-c5	38
FBgn0260744	embryo 00-02hr	49
FBgn0260744	embryo 02-04hr	12
FBgn0260744	embryo 04-06hr	12
FBgn0260744	embryo 06-08hr	8
FBgn0260744	embryo 08-10hr	10
FBgn0260744	embryo 10-12hr	9
FBgn0260744	embryo 12-14hr	6
FBgn0260744	embryo 14-16hr	4
FBgn0260744	embryo 16-18hr	5
FBgn0260744	embryo 18-20hr	6
